date, value
2021-01-01,7.775985908040706
2021-01-02,7.796103105874883
2021-01-03,7.81622030370906
2021-01-04,7.8363375015432375
2021-01-05,8.023730577258858
2021-01-06,8.04798144588088
2021-01-07,8.148291856999242
2021-01-08,8.098687807545106
2021-01-09,8.018586453611764
2021-01-10,7.938485099678418
2021-01-11,7.8583837457450745
2021-01-12,7.94877334697261
2021-01-13,7.9741265278047235
2021-01-14,8.078846187763453
2021-01-15,7.941057161501966
2021-01-16,7.958418578810913
2021-01-17,7.975779996119861
2021-01-18,7.993141413428809
2021-01-19,8.010502830737757
2021-01-20,8.028139826099226
2021-01-21,8.041367572620329
2021-01-22,7.993968147586377
2021-01-23,7.996540209409925
2021-01-24,7.999112271233473
2021-01-25,8.001684333057021
2021-01-26,7.979638088855182
2021-01-27,7.842951374803789
2021-01-28,7.888146175417556
2021-01-29,7.839644438173513
2021-01-30,7.832295690106234
2021-01-31,7.824946942038954
2021-02-01,7.8175981939716745
2021-02-02,7.770198768937724
2021-02-03,7.860588370165259
2021-02-04,7.833030564912962
2021-02-05,7.993968147586377
2021-02-06,8.023363139855494
2021-02-07,8.05275813212461
2021-02-08,8.082153124393729
2021-02-09,8.201202843083653
2021-02-10,8.316945625143301
2021-02-11,8.314741000723117
2021-02-12,8.35111730365615
2021-02-13,8.376470484488262
2021-02-14,8.401823665320377
2021-02-15,8.42717684615249
2021-02-16,8.452530026984602
2021-02-17,8.422767597312122
2021-02-18,8.600239863136915
2021-02-19,8.98163988782871
2021-02-20,9.03087649987948
2021-02-21,9.080113111930253
2021-02-22,9.129349723981022
2021-02-23,9.215991463694245
2021-02-24,9.476137145275931
2021-02-25,9.401620839873718
2021-02-26,9.023307289370184
2021-02-27,9.038078272985416
2021-02-28,9.052849256600645
2021-03-01,9.067620240215877
2021-03-02,9.307924302015909
2021-03-03,9.131554348401208
2021-03-04,8.771098255701158
2021-03-05,8.984946824458985
2021-03-06,8.997807133576725
2021-03-07,9.010667442694462
2021-03-08,9.023527751812201
2021-03-09,8.837236988306671
2021-03-10,8.890147974391082
2021-03-11,9.124940475140656
2021-03-12,9.127145099560838
2021-03-13,9.127512536964202
2021-03-14,9.127879974367566
2021-03-15,9.128247411770932
2021-03-16,8.976128326778252
2021-03-17,9.080847986736979
2021-03-18,9.056597118114958
2021-03-19,9.067620240215877
2021-03-20,9.087094422594168
2021-03-21,9.106568604972457
2021-03-22,9.126042787350746
2021-03-23,8.993765322139721
2021-03-24,8.959593643626873
2021-03-25,8.769995943491068
2021-03-26,8.968412141307606
2021-03-27,8.943793835282221
2021-03-28,8.919175529256835
2021-03-29,8.894557223231452
2021-03-30,8.771098255701158
2021-03-31,8.808576870844282
2021-04-01,8.797553748743365
2021-04-02,8.87857369618512
2021-04-03,8.959593643626873
2021-04-04,9.040613591068626
2021-04-05,9.12163353851038
2021-04-06,9.07533642568652
2021-04-07,8.938649711635126
2021-04-08,9.026834688442477
2021-04-09,8.906682657542461
2021-04-10,8.89088284919781
2021-04-11,8.875083040853161
2021-04-12,8.859283232508512
2021-04-13,8.8879433499709
2021-04-14,9.101791918728726
2021-04-15,9.300208116545265
2021-04-16,9.188874583325985
2021-04-17,9.24031581979694
2021-04-18,9.291757056267896
2021-04-19,9.34319829273885
2021-04-20,9.288082682234254
2021-04-21,9.433587893966385
2021-04-22,9.420360147445281
2021-04-23,9.55925148591686
2021-04-24,9.636413340623292
2021-04-25,9.713575195329723
2021-04-26,9.790737050036155
2021-04-27,9.893252085574701
2021-04-28,9.915959717102593
2021-04-29,9.896779484646995
2021-04-30,9.855112083105523
2021-05-01,9.897955284337762
2021-05-02,9.940798485569998
2021-05-03,9.983641686802237
2021-05-04,9.96820931586095
2021-05-05,9.97372087691141
2021-05-06,10.146783893895837
2021-05-07,10.468659059242668
2021-05-08,10.44477562802401
2021-05-09,10.420892196805353
2021-05-10,10.397008765586696
2021-05-11,10.498421488915147
2021-05-12,10.44110125399037
2021-05-13,10.340790842872009
2021-05-14,10.261424363745391
2021-05-15,10.303312227728883
2021-05-16,10.345200091712377
2021-05-17,10.387087955695868
2021-05-18,10.417952697578441
2021-05-19,10.089463658971058
2021-05-20,10.070724351399495
2021-05-21,9.878922026843506
2021-05-22,9.9116239557429
2021-05-23,9.944325884642291
2021-05-24,9.977027813541685
2021-05-25,9.935139949558193
2021-05-26,9.985846311222419
2021-05-27,10.280163671316956
2021-05-28,10.31213072540962
2021-05-29,10.298902978888517
2021-05-30,10.285675232367414
2021-05-31,10.272447485846312
2021-06-01,10.259219739325209
2021-06-02,10.122533025273814
2021-06-03,9.8392387872802
2021-06-04,9.984743999012329
2021-06-05,9.982906811995509
2021-06-06,9.98106962497869
2021-06-07,9.979232437961869
2021-06-08,10.04426885835729
2021-06-09,9.989153247852695
2021-06-10,9.887740524524244
2021-06-11,10.00348330658389
2021-06-12,9.995767121113246
2021-06-13,9.988050935642605
2021-06-14,9.980334750171961
2021-06-15,9.552637612656309
2021-06-16,9.667278082505863
2021-06-17,9.210920827527822
2021-06-18,9.164623714703962
2021-06-19,9.184465334485617
2021-06-20,9.20430695426727
2021-06-21,9.224148574048925
2021-06-22,9.32556129737738
2021-06-23,9.547126051605849
2021-06-24,9.504135875412265
2021-06-25,9.461145699218681
2021-06-26,9.4513718642892
2021-06-27,9.441598029359717
2021-06-28,9.431824194430236
2021-06-29,9.412203037090602
2021-06-30,9.458941074798497
2021-07-01,9.338789043898482
2021-07-02,9.426974020705833
2021-07-03,9.413195118079685
2021-07-04,9.399416215453536
2021-07-05,9.385637312827386
2021-07-06,9.37185841020124
2021-07-07,9.529489056244378
2021-07-08,9.401620839873718
2021-07-09,9.580195417908605
2021-07-10,9.55851661111013
2021-07-11,9.536837804311658
2021-07-12,9.515158997513183
2021-07-13,9.495317377731531
2021-07-14,9.40823471313427
2021-07-15,9.530591368454472
2021-07-16,9.530591368454472
2021-07-17,9.441304079437028
2021-07-18,9.352016790419585
2021-07-19,9.262729501402141
2021-07-20,9.398313903243443
2021-07-21,9.418155523025098
2021-07-22,9.562558422547136
2021-07-23,9.700347448808621
2021-07-24,9.836299288053288
2021-07-25,9.972251127297953
2021-07-26,10.10820296654262
2021-07-27,10.018915677525177
2021-07-28,9.881126651263692
2021-07-29,9.972618564701317
2021-07-30,9.882228963473782
2021-07-31,9.84585266054075
2021-08-01,9.809476357607718
2021-08-02,9.773100054674686
2021-08-03,9.669482706926049
2021-08-04,9.551535300446215
2021-08-05,9.585706978959065
2021-08-06,9.585706978959065
2021-08-07,9.542716802765481
2021-08-08,9.499726626571897
2021-08-09,9.456736450378314
2021-08-10,9.598934725480168
2021-08-11,9.628697155152647
2021-08-12,9.612162472001271
2021-08-13,9.681608141237058
2021-08-14,9.634208716203108
2021-08-15,9.586809291169155
2021-08-16,9.539409866135205
2021-08-17,9.272650311292969
2021-08-18,9.083052611157164
2021-08-19,8.908887281962645
2021-08-20,9.120531226300287
2021-08-21,9.194018706973079
2021-08-22,9.267506187645873
2021-08-23,9.340993668318665
2021-08-24,9.387290781142525
2021-08-25,9.40823471313427
2021-08-26,9.369433323339036
2021-08-27,9.532575530432636
2021-08-28,9.566232796580774
2021-08-29,9.599890062728914
2021-08-30,9.633547328877052
2021-08-31,9.638617965043474
2021-09-01,9.431383269546199
2021-09-02,9.48870350447098
2021-09-03,9.55484223707649
2021-09-04,9.55484223707649
2021-09-05,9.55484223707649
2021-09-06,9.55484223707649
2021-09-07,9.439099455016844
2021-09-08,9.33217517063793
2021-09-09,9.447917952697578
2021-09-10,9.814987918658177
2021-09-11,9.752523560086304
2021-09-12,9.69005920151443
2021-09-13,9.627594842942557
2021-09-14,9.526182119614102
2021-09-15,9.714677507539816
2021-09-16,9.439099455016844
2021-09-17,9.36083528810032
2021-09-18,9.264199251015597
2021-09-19,9.167563213930874
2021-09-20,9.070927176846151
2021-09-21,9.096280357678268
2021-09-22,9.374063034621422
2021-09-23,9.327765921797562
2021-09-24,9.447917952697578
2021-09-25,9.45085745192449
2021-09-26,9.453796951151404
2021-09-27,9.456736450378314
2021-09-28,9.361937600310412
2021-09-29,9.257217940351682
2021-09-30,9.014709254131468
2021-10-01,9.234069383939753
2021-10-02,9.270813124276149
2021-10-03,9.307556864612545
2021-10-04,9.344300604948941
2021-10-05,9.242887881620486
2021-10-06,9.143679782712217
2021-10-07,9.35532372704986
2021-10-08,9.425871708495741
2021-10-09,9.492745315907982
2021-10-10,9.559618923320224
2021-10-11,9.626492530732465
2021-10-12,9.53610292950493
2021-10-13,9.95608388154994
2021-10-14,10.210718002081165
2021-10-15,10.426771195259175
2021-10-16,10.423831696032265
2021-10-17,10.420892196805353
2021-10-18,10.417952697578441
2021-10-19,10.368348648124305
2021-10-20,10.437794317360094
2021-10-21,10.049780419407751
2021-10-22,9.916400641986632
2021-10-23,9.93844688618847
2021-10-24,9.960493130390306
2021-10-25,9.982539374592143
2021-10-26,9.889945148944426
2021-10-27,9.67719889239669
2021-10-28,9.785225488985697
2021-10-29,9.62979946736274
2021-10-30,9.648538774934302
2021-10-31,9.667278082505867
2021-11-01,9.686017390077428
2021-11-02,9.625390218522371
2021-11-03,9.526182119614102
2021-11-04,9.52507980740401
2021-11-05,9.574683856858146
2021-11-06,9.61583684603491
2021-11-07,9.656989835211673
2021-11-08,9.698142824388437
2021-11-09,9.64082258946366
2021-11-10,9.530591368454472
2021-11-11,9.69924513659853
2021-11-12,9.809476357607718
2021-11-13,9.773100054674686
2021-11-14,9.736723751741653
2021-11-15,9.700347448808621
2021-11-16,9.593423164429707
2021-11-17,9.404927776503994
2021-11-18,9.48980581668107
2021-11-19,9.716882131959999
2021-11-20,9.708798509085991
2021-11-21,9.700714886211985
2021-11-22,9.692631263337978
2021-11-23,9.752156122682939
2021-11-24,9.832845376461666
2021-11-25,9.639940739695586
2021-11-26,9.447036102929506
2021-11-27,9.486278417608776
2021-11-28,9.525520732288047
2021-11-29,9.564763046967318
2021-11-30,9.433146969082348
2021-12-01,9.365244536940688
2021-12-02,9.478782694580152
2021-12-03,9.404927776503994
2021-12-04,9.457471325185042
2021-12-05,9.510014873866089
2021-12-06,9.562558422547136
2021-12-07,9.565865359177412
2021-12-08,9.681608141237058
2021-12-09,9.54822836381594
2021-12-10,9.444611016067302
2021-12-11,9.442038954243756
2021-12-12,9.439466892420207
2021-12-13,9.43689483059666
2021-12-14,9.379574595671881
2021-12-15,9.21533007636819
2021-12-16,9.482089631210428
2021-12-17,9.458941074798497
2021-12-18,9.456736450378312
2021-12-19,9.45453182595813
2021-12-20,9.452327201537946
2021-12-21,9.564763046967318
2021-12-22,9.674994267976507
2021-12-23,9.672789643556325
2021-12-24,9.672789643556325
2021-12-25,9.672789643556325
2021-12-26,9.672789643556325
2021-12-27,9.846954972750842
2021-12-28,9.76163600768973
2021-12-29,9.720409531032292
2021-12-30,9.676757967512655
2021-12-31,9.836593237975979
